school name,school county,alat,alon,grades,schoolScore
BATY ELEMENTARY,TRAVIS COUNTY,30.230452000000003,-97.716255,F,0.0
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.085139,-97.664171,0,0.0
MATHEWS ELEMENTARY,TRAVIS COUNTY,30.282342,-97.76084,B+,75.0
PARKSIDE ELEMENTARY,WILLIAMSON COUNTY,30.549120000000002,-97.788726,B-,58.33
PATTON ELEMENTARY,TRAVIS COUNTY,30.217816,-97.8514,B,66.67
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.401165000000002,-97.99776899999999,A-,83.34
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.357715000000002,-97.98416,A-,83.34
LAKE TRAVIS ELEMENTARY,TRAVIS COUNTY,30.402287,-97.92574,B,66.67
SPRINGHILL ELEMENTARY,TRAVIS COUNTY,30.446254999999997,-97.653896,C,41.67
POND SPRINGS ELEMENTARY,WILLIAMSON COUNTY,30.439318,-97.766802,B-,58.33
BLANTON ELEMENTARY,TRAVIS COUNTY,30.310743,-97.69348199999999,C-,33.33
LAURA WELCH BUSH ELEMENTARY,TRAVIS COUNTY,30.345917,-97.873079,A,96.67
KIKER ELEMENTARY,TRAVIS COUNTY,30.195008,-97.862442,A+,100.0
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.11066,-97.719323,0,0.0
WALNUT CREEK ELEMENTARY,TRAVIS COUNTY,30.370621000000003,-97.682123,D-,8.33
FOREST TRAIL ELEMENTARY,TRAVIS COUNTY,30.34242,-97.85550699999999,A+,100.0
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.088853000000004,-97.770208,0,0.0
ROWE LANE ELEMENTARY,TRAVIS COUNTY,30.490534999999998,-97.569765,B+,75.0
ROOSTER SPRINGS ELEMENTARY,HAYS COUNTY,30.237213,-97.984948,B-,58.33
SHADOWGLEN ELEMENTARY,TRAVIS COUNTY,30.415283000000002,-97.537446,D+,25.0
POPHAM ELEMENTARY,TRAVIS COUNTY,30.141025,-97.666351,D-,8.33
PAULINE NAUMANN ELEMENTARY,WILLIAMSON COUNTY,30.470273,-97.826918,B,66.67
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.288359999999997,-97.86640899999999,A+,100.0
CASIS ELEMENTARY,TRAVIS COUNTY,30.316027000000002,-97.765966,A,96.67
DOUBLE FILE TRAIL ELEMENTARY,WILLIAMSON COUNTY,30.534263,-97.660651,C,41.67
STEINER RANCH ELEMENTARY,TRAVIS COUNTY,30.415096999999996,-97.920159,A-,83.34
PFLUGERVILLE ELEMENTARY,TRAVIS COUNTY,30.425311999999998,-97.56936800000001,B-,58.33
LAKE POINTE ELEMENTARY,TRAVIS COUNTY,30.294896,-97.91835,A+,100.0
TEXAS EMPOWERMENT ACADEMY ELEMENTARY,TRAVIS COUNTY,30.311831,-97.682727,D-,8.33
HORNSBY-DUNLAP ELEMENTARY,TRAVIS COUNTY,30.22298,-97.628333,0,0.0
SUMMITT ELEMENTARY,TRAVIS COUNTY,30.406189,-97.736773,B-,58.33
NEYSA CALLISON ELEMENTARY,WILLIAMSON COUNTY,30.502397,-97.66563199999999,D+,25.0
OAK HILL ELEMENTARY,TRAVIS COUNTY,30.241301,-97.875925,C+,50.0
DOSS ELEMENTARY,TRAVIS COUNTY,30.35098,-97.756964,A,96.67
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.32517,-97.528504,D-,8.33
GATTIS ELEMENTARY,WILLIAMSON COUNTY,30.493911999999998,-97.64986800000001,C+,50.0
ST ELEMENTARYMO ELEMENTARY,TRAVIS COUNTY,30.226689,-97.780392,C+,50.0
CANYON CREEK ELEMENTARY,TRAVIS COUNTY,30.439008,-97.824771,A+,100.0
LAKE TRAVIS ELEMENTARY,TRAVIS COUNTY,30.380895000000002,-97.958462,B,66.67
VIC ROBERTSON ELEMENTARY,WILLIAMSON COUNTY,30.521831,-97.676542,D+,25.0
PAULINE NAUMANN ELEMENTARY,WILLIAMSON COUNTY,30.471208,-97.818481,B,66.67
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.365303000000004,-97.987608,A-,83.34
RIOJAS ELEMENTARY,TRAVIS COUNTY,30.44681,-97.576094,B-,58.33
NEIDIG ELEMENTARY,BASTROP COUNTY,30.362548999999998,-97.465251,0,0.0
BARANOFF ELEMENTARY,TRAVIS COUNTY,30.143946000000003,-97.881579,B+,75.0
GULLETT ELEMENTARY,TRAVIS COUNTY,30.338981,-97.747333,A+,100.0
EANES ELEMENTARY,TRAVIS COUNTY,30.290259000000002,-97.80018299999999,A-,83.34
WEBB PRI CENTER,TRAVIS COUNTY,30.33858,-97.706468,F,0.0
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.270556,-97.469296,D-,8.33
LAKE TRAVIS ELEMENTARY,TRAVIS COUNTY,30.379289,-97.936837,B,66.67
REILLY ELEMENTARY,TRAVIS COUNTY,30.323864,-97.72008000000001,B-,58.33
CUNNINGHAM ELEMENTARY,TRAVIS COUNTY,30.196609000000002,-97.811993,F,0.0
BARANOFF ELEMENTARY,TRAVIS COUNTY,30.144804999999998,-97.850431,B+,75.0
BATY ELEMENTARY,TRAVIS COUNTY,30.231393,-97.712806,F,0.0
HILL ELEMENTARY,TRAVIS COUNTY,30.390815000000003,-97.761576,B+,75.0
BLAZIER ELEMENTARY,TRAVIS COUNTY,30.145167999999998,-97.748307,B-,58.33
KOCUREK ELEMENTARY,TRAVIS COUNTY,30.180411,-97.833577,C-,33.33
MILLS ELEMENTARY,TRAVIS COUNTY,30.224836,-97.89543499999999,A,96.67
LAURA B NEGLEY ELEMENTARY,HAYS COUNTY,30.036426000000002,-97.896599,C,41.67
CEDAR CREEK ELEMENTARY,TRAVIS COUNTY,30.275807,-97.80801600000001,A-,83.34
STEINER RANCH ELEMENTARY,TRAVIS COUNTY,30.398728000000002,-97.87980999999999,A-,83.34
MAGNOLIA MONTESSORI FOR ALL,TRAVIS COUNTY,30.337339,-97.652761,C,41.67
PFLUGERVILLE ELEMENTARY,TRAVIS COUNTY,30.396990000000002,-97.599267,B-,58.33
JOLLYVILLE ELEMENTARY,WILLIAMSON COUNTY,30.446626000000002,-97.745106,0,0.0
GRAHAM ELEMENTARY,TRAVIS COUNTY,30.367065999999998,-97.675823,B+,75.0
BALDWIN ELEMENTARY,TRAVIS COUNTY,30.209257,-97.93126600000001,B+,75.0
HIGHLAND PARK ELEMENTARY,TRAVIS COUNTY,30.337557,-97.776808,B+,75.0
TEXAS EMPOWERMENT ACADEMY ELEMENTARY,TRAVIS COUNTY,30.311809999999998,-97.67564399999999,D-,8.33
HILL ELEMENTARY,TRAVIS COUNTY,30.375082,-97.770156,B+,75.0
WOOLDRIDGE ELEMENTARY,TRAVIS COUNTY,30.363736,-97.70679,D+,25.0
JOSEPH GILBERT ELEMENTARY,TRAVIS COUNTY,30.262421999999997,-97.567351,D,16.67
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.077143,-97.753147,0,0.0
WIDEN ELEMENTARY,TRAVIS COUNTY,30.187565000000003,-97.7478,F,0.0
RIDGETOP ELEMENTARY,TRAVIS COUNTY,30.312515,-97.7201,C,41.67
SERENE HILLS ELEMENTARY,TRAVIS COUNTY,30.355988,-97.991862,A-,83.34
GOVALLE ELEMENTARY,TRAVIS COUNTY,30.268762,-97.692883,F,0.0
LAUREL MOUNTAIN ELEMENTARY,TRAVIS COUNTY,30.414486,-97.776032,A+,100.0
RUTLEDGE ELEMENTARY,WILLIAMSON COUNTY,30.501803000000002,-97.79097900000001,A-,83.34
POPHAM ELEMENTARY,TRAVIS COUNTY,30.134057000000002,-97.622311,D-,8.33
LAGO VISTA ELEMENTARY,TRAVIS COUNTY,30.416357,-97.967201,0,0.0
LAGO VISTA ELEMENTARY,TRAVIS COUNTY,30.459999,-97.91964499999999,0,0.0
RIVER PLACE ELEMENTARY,TRAVIS COUNTY,30.372902000000003,-97.826904,B+,75.0
BRIDGE POINT ELEMENTARY,TRAVIS COUNTY,30.373863,-97.808322,A+,100.0
LAKE TRAVIS ELEMENTARY,TRAVIS COUNTY,30.387914000000002,-97.968826,B,66.67
ROOSTER SPRINGS ELEMENTARY,HAYS COUNTY,30.226596,-97.96059,B-,58.33
BUDA ELEMENTARY,HAYS COUNTY,30.079693,-97.831517,C+,50.0
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.378434999999996,-97.979003,A-,83.34
LAUREL MOUNTAIN ELEMENTARY,TRAVIS COUNTY,30.392691999999997,-97.771321,A+,100.0
ROOSTER SPRINGS ELEMENTARY,HAYS COUNTY,30.178797999999997,-98.006873,B-,58.33
CEDAR CREEK ELEMENTARY,TRAVIS COUNTY,30.263022999999997,-97.807187,A-,83.34
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.279157,-97.47239499999999,D-,8.33
MURCHISON ELEMENTARY,TRAVIS COUNTY,30.460997999999996,-97.582054,B+,75.0
DOSS ELEMENTARY,TRAVIS COUNTY,30.360993,-97.772274,A,96.67
POPHAM ELEMENTARY,TRAVIS COUNTY,30.134605,-97.652239,D-,8.33
HIGHLAND PARK ELEMENTARY,TRAVIS COUNTY,30.473077000000004,-97.609585,B+,75.0
ROWE LANE ELEMENTARY,TRAVIS COUNTY,30.486741,-97.551518,B+,75.0
GRANDVIEW HILLS ELEMENTARY,TRAVIS COUNTY,30.417887,-97.898893,B-,58.33
FERN BLUFF ELEMENTARY,WILLIAMSON COUNTY,30.513259,-97.721818,A,96.67
BROWN ELEMENTARY,TRAVIS COUNTY,30.340892999999998,-97.706486,D,16.67
NEYSA CALLISON ELEMENTARY,WILLIAMSON COUNTY,30.502877,-97.651347,D+,25.0
BRIDGE POINT ELEMENTARY,TRAVIS COUNTY,30.339761,-97.810749,A+,100.0
BRENTWOOD ELEMENTARY,TRAVIS COUNTY,30.334556,-97.73789000000001,B+,75.0
SUMMITT ELEMENTARY,TRAVIS COUNTY,30.414163000000002,-97.722362,B-,58.33
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.286659999999998,-97.874303,A+,100.0
ODOM ELEMENTARY,TRAVIS COUNTY,30.206771999999997,-97.788864,C,41.67
PEREZ ELEMENTARY,TRAVIS COUNTY,30.160359000000003,-97.76852199999999,D,16.67
WILLIAMS ELEMENTARY,TRAVIS COUNTY,30.188686999999998,-97.788354,D,16.67
BARANOFF ELEMENTARY,TRAVIS COUNTY,30.150405,-97.857609,B+,75.0
CANYON CREEK ELEMENTARY,TRAVIS COUNTY,30.42993,-97.826063,A+,100.0
VALLEY VIEW ELEMENTARY,TRAVIS COUNTY,30.288559999999997,-97.82341,A-,83.34
JOSLIN ELEMENTARY,TRAVIS COUNTY,30.231794,-97.78839,C-,33.33
MILLS ELEMENTARY,TRAVIS COUNTY,30.203281,-97.881372,A,96.67
LAUREL MOUNTAIN ELEMENTARY,TRAVIS COUNTY,30.391958000000002,-97.798234,A+,100.0
WIELAND ELEMENTARY,TRAVIS COUNTY,30.418490000000002,-97.624943,C+,50.0
CLAYTON ELEMENTARY,TRAVIS COUNTY,30.222656,-97.934224,A,96.67
HIGHLAND PARK ELEMENTARY,TRAVIS COUNTY,30.329067,-97.753743,B+,75.0
ROWE LANE ELEMENTARY,TRAVIS COUNTY,30.486082,-97.545588,B+,75.0
DOSS ELEMENTARY,TRAVIS COUNTY,30.359547999999997,-97.753902,A,96.67
TEXAS EMPOWERMENT ACADEMY ELEMENTARY,TRAVIS COUNTY,30.313662,-97.676064,D-,8.33
SHADOWGLEN ELEMENTARY,TRAVIS COUNTY,30.360807,-97.546749,D+,25.0
EDEN PARK ACADEMY,TRAVIS COUNTY,30.202854,-97.799873,C+,50.0
HORNSBY-DUNLAP ELEMENTARY,TRAVIS COUNTY,30.243539000000002,-97.553409,0,0.0
POPHAM ELEMENTARY,TRAVIS COUNTY,30.153907,-97.64756,D-,8.33
SUMMITT ELEMENTARY,TRAVIS COUNTY,30.419055,-97.72823299999999,B-,58.33
LAURA WELCH BUSH ELEMENTARY,TRAVIS COUNTY,30.379037,-97.910863,A,96.67
BARTON HILLS ELEMENTARY,TRAVIS COUNTY,30.254631,-97.778778,A,96.67
SIMS ELEMENTARY,TRAVIS COUNTY,30.281903999999997,-97.687247,D-,8.33
VALLEY VIEW ELEMENTARY,TRAVIS COUNTY,30.273047,-97.856978,A-,83.34
RIVER PLACE ELEMENTARY,TRAVIS COUNTY,30.371888000000002,-97.82629399999999,B+,75.0
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.288805,-97.873497,A+,100.0
OLD TOWN ELEMENTARY,WILLIAMSON COUNTY,30.546407000000002,-97.70394300000001,B-,58.33
BROOKHOLLOW ELEMENTARY,TRAVIS COUNTY,30.445631,-97.613686,C,41.67
BARANOFF ELEMENTARY,TRAVIS COUNTY,30.155904999999997,-97.85707,B+,75.0
OAK HILL ELEMENTARY,TRAVIS COUNTY,30.245059,-97.906665,C+,50.0
PRESIDENTIAL MEADOWS ELEMENTARY,TRAVIS COUNTY,30.360184000000004,-97.47202,F,0.0
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.046628000000002,-97.721439,0,0.0
LAUREL MOUNTAIN ELEMENTARY,TRAVIS COUNTY,30.398108,-97.781948,A+,100.0
PRESIDENTIAL MEADOWS ELEMENTARY,TRAVIS COUNTY,30.330388,-97.51063,F,0.0
FOREST TRAIL ELEMENTARY,TRAVIS COUNTY,30.313862,-97.834862,A+,100.0
RIVER PLACE ELEMENTARY,TRAVIS COUNTY,30.378332,-97.817326,B+,75.0
ANDREWS ELEMENTARY,TRAVIS COUNTY,30.326539,-97.683051,D-,8.33
ALLISON ELEMENTARY,TRAVIS COUNTY,30.231854,-97.670458,C,41.67
PATTON ELEMENTARY,TRAVIS COUNTY,30.256773,-97.83649,B,66.67
UNION HILL ELEMENTARY,WILLIAMSON COUNTY,30.553247,-97.665868,C-,33.33
JOLLYVILLE ELEMENTARY,WILLIAMSON COUNTY,30.448809999999998,-97.75584599999999,0,0.0
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.314441,-97.862717,A+,100.0
ROOSTER SPRINGS ELEMENTARY,HAYS COUNTY,30.192144,-97.968215,B-,58.33
STEINER RANCH ELEMENTARY,TRAVIS COUNTY,30.359817,-97.859691,A-,83.34
RIDGETOP ELEMENTARY,TRAVIS COUNTY,30.312385,-97.719825,C,41.67
PFLUGERVILLE ELEMENTARY,TRAVIS COUNTY,30.431766999999997,-97.607869,B-,58.33
BLANTON ELEMENTARY,TRAVIS COUNTY,30.305877000000002,-97.695021,C-,33.33
ALLISON ELEMENTARY,TRAVIS COUNTY,30.230824,-97.67188,C,41.67
CHANDLER OAKS ELEMENTARY,WILLIAMSON COUNTY,30.562112,-97.742983,A-,83.34
CASEY ELEMENTARY,TRAVIS COUNTY,30.17543,-97.809365,D+,25.0
CLAYTON ELEMENTARY,TRAVIS COUNTY,30.234101000000003,-97.940568,A,96.67
OAK HILL ELEMENTARY,TRAVIS COUNTY,30.235371999999998,-97.885289,C+,50.0
KIPP AUSTIN OBRAS,TRAVIS COUNTY,30.208169,-97.767129,C-,33.33
FOREST TRAIL ELEMENTARY,TRAVIS COUNTY,30.32487,-97.83720500000001,A+,100.0
WINDERMERE ELEMENTARY,TRAVIS COUNTY,30.474596000000002,-97.63607900000001,B-,58.33
LAURA B NEGLEY ELEMENTARY,HAYS COUNTY,30.045271000000003,-97.890622,C,41.67
CLAYTON ELEMENTARY,TRAVIS COUNTY,30.221467999999998,-97.91924399999999,A,96.67
JOSLIN ELEMENTARY,TRAVIS COUNTY,30.234997999999997,-97.786364,C-,33.33
EANES ELEMENTARY,TRAVIS COUNTY,30.297151,-97.812765,A-,83.34
DEER CREEK ELEMENTARY,WILLIAMSON COUNTY,30.487401000000002,-97.904948,0,0.0
MANOR ELEMENTARY,TRAVIS COUNTY,30.373694,-97.56085,C,41.67
BARANOFF ELEMENTARY,TRAVIS COUNTY,30.15725,-97.868804,B+,75.0
DEL VALLE ELEMENTARY,TRAVIS COUNTY,30.198054,-97.590548,D-,8.33
TIMMERMAN ELEMENTARY,TRAVIS COUNTY,30.443144,-97.62171,C,41.67
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.306809,-97.506491,D-,8.33
SPICEWOOD ELEMENTARY,TRAVIS COUNTY,30.448203999999997,-97.801485,A+,100.0
DOSS ELEMENTARY,TRAVIS COUNTY,30.377212,-97.79602,A,96.67
LAURA WELCH BUSH ELEMENTARY,TRAVIS COUNTY,30.369593,-97.917165,A,96.67
METZ ELEMENTARY,TRAVIS COUNTY,30.255365,-97.7234,F,0.0
DEL VALLE ELEMENTARY,TRAVIS COUNTY,30.178106,-97.640022,D-,8.33
