school name,school county,alat,alon
GRANDVIEW HILLS ELEMENTARY,TRAVIS COUNTY,30.419338,-97.898222
BRIDGE POINT ELEMENTARY,TRAVIS COUNTY,30.352557,-97.839204
DEL VALLE ELEMENTARY,TRAVIS COUNTY,30.166911,-97.593741
DEARING ELEMENTARY,WILLIAMSON COUNTY,30.488239,-97.601437
MILLS ELEMENTARY,TRAVIS COUNTY,30.2192,-97.89517
GRANDVIEW HILLS ELEMENTARY,TRAVIS COUNTY,30.42091,-97.856516
METZ ELEMENTARY,TRAVIS COUNTY,30.24403,-97.724396
GULLETT ELEMENTARY,TRAVIS COUNTY,30.335922,-97.746832
SUMMITT ELEMENTARY,TRAVIS COUNTY,30.42455,-97.709114
BLACKSHEAR ELEMENTARY,TRAVIS COUNTY,30.267852,-97.717818
SUNSET VALLEY ELEMENTARY,TRAVIS COUNTY,30.221901,-97.816797
OAK HILL ELEMENTARY,TRAVIS COUNTY,30.269012,-97.881214
MCBEE ELEMENTARY,TRAVIS COUNTY,30.378615,-97.693074
PRESIDENTIAL MEADOWS ELEMENTARY,TRAVIS COUNTY,30.356461,-97.52299
CLAYTON ELEMENTARY,TRAVIS COUNTY,30.214271,-97.90846
LAGO VISTA ELEMENTARY,TRAVIS COUNTY,30.442938,-97.928922
EL DAEP,WILLIAMSON COUNTY,30.469554,-97.776022
SHADOWGLEN ELEMENTARY,TRAVIS COUNTY,30.39035,-97.520613
VALLEY VIEW ELEMENTARY,TRAVIS COUNTY,30.298871,-97.819518
WELLS BRANCH LEADERSHIP ACADEMY,TRAVIS COUNTY,30.47263,-97.679486
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.092165,-97.67553
BOONE ELEMENTARY,TRAVIS COUNTY,30.20278,-97.845895
CASIS ELEMENTARY,TRAVIS COUNTY,30.303887,-97.775299
OLD TOWN ELEMENTARY,WILLIAMSON COUNTY,30.527165,-97.701583
SERENE HILLS ELEMENTARY,TRAVIS COUNTY,30.369634,-98.007515
PATTON ELEMENTARY,TRAVIS COUNTY,30.220106,-97.857752
DEARING ELEMENTARY,WILLIAMSON COUNTY,30.501514,-97.573815
COWAN ELEMENTARY,TRAVIS COUNTY,30.189548,-97.842977
REILLY ELEMENTARY,TRAVIS COUNTY,30.320507,-97.737785
PRESIDENTIAL MEADOWS ELEMENTARY,TRAVIS COUNTY,30.367481,-97.518058
LAUREL MOUNTAIN ELEMENTARY,TRAVIS COUNTY,30.393311,-97.80611
HORNSBY-DUNLAP ELEMENTARY,TRAVIS COUNTY,30.223126,-97.627955
LINDER ELEMENTARY,TRAVIS COUNTY,30.220749,-97.737364
GATTIS ELEMENTARY,WILLIAMSON COUNTY,30.490653,-97.650415
AUSTIN DISCOVERY SCHOOL,TRAVIS COUNTY,30.274654,-97.61804
BROOKHOLLOW ELEMENTARY,TRAVIS COUNTY,30.456595,-97.630912
LAUREL MOUNTAIN ELEMENTARY,TRAVIS COUNTY,30.395453,-97.778055
CHARLOTTE COX ELEMENTARY,NA,30.507269,-97.819916
WINDERMERE PRI,TRAVIS COUNTY,30.465624,-97.648014
LOIS F GIDDENS ELEMENTARY,WILLIAMSON COUNTY,30.519607,-97.844708
HORNSBY-DUNLAP ELEMENTARY,TRAVIS COUNTY,30.245887,-97.559213
PRESIDENTIAL MEADOWS ELEMENTARY,TRAVIS COUNTY,30.354493,-97.52933
OVERTON ELEMENTARY,TRAVIS COUNTY,30.307396,-97.640141
PRESIDENTIAL MEADOWS ELEMENTARY,TRAVIS COUNTY,30.342048,-97.531434
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.353336,-97.958888
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.30165,-97.872808
DEL VALLE ELEMENTARY,TRAVIS COUNTY,30.165515,-97.593905
WOOLDRIDGE ELEMENTARY,TRAVIS COUNTY,30.371393,-97.712221
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.097534,-97.66172
LAKE TRAVIS ELEMENTARY,TRAVIS COUNTY,30.411259,-97.921945
RIVER PLACE ELEMENTARY,TRAVIS COUNTY,30.371736,-97.859549
LAKE TRAVIS ELEMENTARY,TRAVIS COUNTY,30.403926,-97.956251
LAURA WELCH BUSH ELEMENTARY,TRAVIS COUNTY,30.368493,-97.895531
READ PRE-K CENTER,TRAVIS COUNTY,30.355003,-97.739642
LIVE OAK ELEMENTARY,WILLIAMSON COUNTY,30.449588,-97.777683
SUMMITT ELEMENTARY,TRAVIS COUNTY,30.425841,-97.70942
