Zillow ID,address,zipcode,alat,alon,valuation,sqft,neighborhood,tractCode,countyFips,stateFips,commuteTime
29356901,11701 Portofino Drive,78732,30.372079,-97.87796,673693.0,4208.0,Marshall Ford,001760,453,48,33.2
70324396,304 Clubhouse Drive,78734,30.368716999999997,-97.960113,403848.0,2247.0,Bella Montagna,001778,453,48,28.7
29429419,10703 Jonwood Way,78753,30.36624,-97.670015,315693.0,3479.0,Woodcliff,001833,453,48,26.4
29474985,900 Juanita Street,78704,30.241795,-97.763891,545444.0,1880.0,Galindo,001307,453,48,20.4
83126406,12317 Terranova Cove,78737,30.179531,-97.918222,593808.0,4082.0,Meridian,001775,453,48,28.1
2105062834,13400 Briarwick Drive,78729,30.45174,-97.76841,318806.0,1700.0,Springwoods,020411,491,48,27.0
64433168,8915 Appaloosa Run,78737,30.192974,-97.94134,522789.0,2378.0,Appaloosa Run,001733,453,48,25.8
88015767,4598 Aria Cove,78681,30.547307,-97.733272,413240.0,2855.0,Sendero Springs,020603,491,48,26.3
144402185,2392 Cecil Drive,78744,30.165184000000004,-97.774589,,,Perkins Valley,002429,453,48,23.8
89546291,11501 Maha Loop Road,78719,30.09334,-97.682424,192693.0,1560.0,,002436,453,48,26.7
64705110,105 Far Vela Lane,78738,30.335784000000004,-97.963851,1022645.0,5697.0,Vistas at Lakeway,001742,453,48,30.1
29366095,11011 Galleria Cove,78759,30.413898,-97.757756,450298.0,2499.0,,002500,453,48,22.1
29367074,17001 South Ridge Lane,78734,30.418081,-97.944796,579280.0,1995.0,,001741,453,48,24.9
70339281,11204 Wet Season,78754,30.372774,-97.653121,281706.0,1799.0,Pioneer Crossing West,001834,453,48,23.6
243339028,13700 Sage Grouse Drive,78729,30.466063000000002,-97.761643,281748.0,1769.0,Springwoods,020409,491,48,24.8
29367465,5907 Sierra Madre,78759,30.419921000000002,-97.755832,553453.0,3240.0,Angus Valley,002500,453,48,22.1
83124873,12012 Montclair Way,78732,30.341565999999997,-97.90929,507739.0,3406.0,,001760,453,48,33.2
29374583,10901 Pickfair Drive,78750,30.438328000000002,-97.81044200000001,509328.0,2489.0,,001714,453,48,27.6
144352148,11120 Lambert Lane,78719,30.116346000000004,-97.67958,385013.0,959.0,,002436,453,48,26.7
29471257,8405 Linden Loop,78617,30.132658000000003,-97.593266,163640.0,1456.0,Timber Hills,002435,453,48,26.7
64673863,18216 Great Valley Drive,78653,30.325121999999997,-97.528921,151669.0,1076.0,Briarcreek,002209,453,48,31.0
144991556,8009 Sassman Road,78747,30.138627000000003,-97.725617,244505.0,1751.0,,002432,453,48,33.1
52830622,15128 Thatcher Drive,78717,30.495069,-97.76904300000001,432449.0,3395.0,,020510,491,48,29.9
58301372,6809 Colony Loop Drive,78724,30.29937,-97.640539,143359.0,930.0,Park Place,002202,453,48,30.0
29416023,6103 Shoalwood Avenue,78757,30.3375,-97.742008,529301.0,956.0,Allandale,001501,453,48,18.7
241938398,14650 Graef Road,78610,30.062951,-97.756852,310083.0,1536.0,,002434,453,48,32.3
29369287,11607 Buttonwood Drive,78759,30.421674,-97.758291,431462.0,2107.0,Arrowwood,002500,453,48,22.1
144352326,4210 Turnersville Road,78610,30.079349,-97.751428,236858.0,1216.0,,002434,453,48,32.3
29476395,2713 La Mesa Drive,78704,30.236226000000002,-97.76074399999999,386655.0,960.0,Dawson,001308,453,48,21.8
29471307,11104 FM 1625,78719,30.106782,-97.728461,312114.0,1344.0,,002432,453,48,33.1
29373242,14609 Pocohontas Trail,78641,30.427832000000002,-97.892225,944869.0,984.0,,001765,453,48,31.3
80106642,19600 Moorlynch Avenue,78660,30.465384999999998,-97.57164399999999,312151.0,2407.0,,001858,453,48,28.5
29510145,10103 Lindshire Lane,78748,30.176059000000002,-97.839972,293466.0,1647.0,Tanglewood Forest,001748,453,48,27.2
63836088,11502 Lapoynor Street,78653,30.336266,-97.56281899999999,189637.0,1611.0,Wildhorse Creek,002212,453,48,29.6
89651203,3056 Agave Loop,78681,30.539524,-97.718911,440367.0,3363.0,Behrens Ranch,020603,491,48,26.3
80104507,4513 Rapid Springs Cove East,78746,30.321479999999998,-97.786464,1702815.0,5719.0,Balcones Park,001913,453,48,23.9
29363413,8300 Elander Drive,78750,30.392491999999997,-97.80279,887301.0,5308.0,Angel Pass,001716,453,48,24.7
119629328,2203 Lakeway Boulevard,78734,30.356685,-97.980393,,,The Preserve at Lakeway,001773,453,48,30.8
2124015951,905 West Howard Lane,78728,30.417733000000002,-97.66532600000001,261915.0,1201.0,Wildflower,001839,453,48,22.6
29479690,10000 Hillside North,78736,30.236451000000002,-97.952955,419568.0,2216.0,,001768,453,48,33.1
83824739,3509 Kelly Lane,78660,30.458595000000003,-97.570808,385161.0,2876.0,,001858,453,48,28.5
29432550,911 Meadows Drive North,78758,30.375583000000002,-97.69379,280916.0,1684.0,North Lamar,001822,453,48,24.4
29383785,16602 Deep Meadow Cove,78653,30.25122,-97.556973,448788.0,4503.0,,002207,453,48,36.5
29604570,1205 Lacey Oak Loop,78681,30.530979,-97.700458,268743.0,2281.0,Oak Creek,020602,491,48,25.4
58304464,1101 Minda Drive,78758,30.387624,-97.68941600000001,336664.0,2111.0,Gracywoods,001845,453,48,22.4
58304368,11815 Eubank Drive,78758,30.389934999999998,-97.685762,305285.0,1775.0,Oak Ridge,001845,453,48,22.4
29347178,14 Club Estates Parkway,78738,30.347444,-97.99083,1340137.0,7077.0,,001773,453,48,30.8
29412647,7105 Blessing Avenue,78752,30.328033,-97.69515200000001,230001.0,1260.0,St. Johns,001812,453,48,24.8
29406958,1404 Northridge Drive,78723,30.314663,-97.69848,420442.0,1604.0,Windsor Park,002104,453,48,25.9
29517319,12902 Shawnee Drive,78652,30.119864,-97.818382,334159.0,1542.0,,002407,453,48,32.1
70355649,3104 Richfield Landing,78660,30.461658,-97.576933,384498.0,3600.0,,001858,453,48,28.5
29457990,2604 Butler National Drive,78660,30.474712,-97.57542600000001,320883.0,2920.0,,001858,453,48,28.5
29344268,5108 Lucas Lane,78731,30.336403999999998,-97.764175,901677.0,3433.0,Highland Hills,000102,453,48,21.1
29419042,1708 Pasadena Drive,78757,30.346496000000002,-97.727407,438521.0,1239.0,Crestview,001504,453,48,18.1
94641966,19104 Leisure Lane,78645,30.458828000000004,-97.958742,733974.0,4183.0,,001780,453,48,39.3
144994458,10800 Circle Drive,78736,30.244141,-97.944024,437074.0,3084.0,,001768,453,48,33.1
70330276,4421 Mirador Drive,78735,30.264615999999997,-97.865864,1598679.0,5256.0,,001908,453,48,23.3
144992567,15421 Goforth Road,78640,30.0789,-97.8252,,,,010902,209,48,32.8
70344718,13821 Briarcreek Loop,78653,30.312933,-97.531317,170967.0,1300.0,Briarcreek,002209,453,48,31.0
84378582,2185 FM 812,78616,30.063737,-97.560917,233998.0,2754.0,,950801,021,48,41.1
29391680,21929 Ann Showers Drive,78621,30.274126000000003,-97.47519100000001,183623.0,1050.0,Estates at Wilbarger Creek,002210,453,48,37.2
29487517,9207 Granada Hills Drive,78737,30.216765999999996,-97.899739,477019.0,2253.0,Lewis Mountain Ranch,001733,453,48,25.8
29469540,5709 Colton Road,78719,30.172783000000003,-97.688677,258003.0,1838.0,,002435,453,48,26.7
144251137,20117 Lockwood Road,78653,30.302138,-97.499837,289489.0,2426.0,Lockwood Farms,002210,453,48,37.2
70327676,12020 Mustang Drive,78610,30.065738,-97.704181,,,,002434,453,48,32.3
29471077,10223 Thaxton Road,78747,30.125542,-97.738536,285551.0,1113.0,Thaxton Place,002432,453,48,33.1
89551659,3022 Thurman Road,78645,30.413684999999997,-97.98341500000001,,,,001780,453,48,39.3
29428805,915 East Village Lane,78758,30.368758000000003,-97.697767,144137.0,930.0,North Austin Civic Association,001822,453,48,24.4
29471454,14104 Hokanson Road,78617,30.108621000000003,-97.641103,253582.0,2284.0,Rio Vista Ranch,002436,453,48,26.7
29462325,6220 Palm Circle,78741,30.232882,-97.69878800000001,264915.0,962.0,Montopolis,002318,453,48,22.6
89547803,7504 Williamson Creek Drive,78736,30.247308,-97.91497700000001,,1152.0,,001769,453,48,27.9
29510413,10105 Rocking Horse Road,78748,30.179149,-97.845897,355306.0,1910.0,Palomino Park,001748,453,48,27.2
214443332,330 Watersedge Terrace Drive,78621,30.207539,-97.47977,132458.0,1612.0,,950100,021,48,38.7
80110185,9517 Castle Pines Drive,78717,30.494378,-97.760304,348533.0,2455.0,Avery Ranch,020510,491,48,29.9
29479413,7603 Callbram Lane,78736,30.233940999999998,-97.891758,461357.0,2997.0,West Oak Hill,001769,453,48,27.9
29433650,1812 Mearns Meadow Boulevard,78758,30.382820000000002,-97.710188,322034.0,2161.0,North Austin Civic Association,001821,453,48,21.7
