house #,street,zipcode,lat,lon,neighborhood
8700,Crystal Creek Circle,78746,30.2996265,-97.8595097083719,NA
8001,Delwau Lane,78725,30.263102,-97.658653,MLK-183
8920,Ramirez Lane,78742,30.2457912,-97.6477541,NA
7496,Cielo Serena Trail,78724,30.2936262084026,-97.6401591809564,Park Place
8402,Beaver Brook Lane,78748,30.1781875,-97.7936445871212,Dittmar - Cooper
600,Beardsley Lane,78746,30.305885,-97.851039,NA
300,Edwin Lane,78742,30.249781,-97.658206,NA
5752,North Scout Island Circle,78731,30.353983,-97.793236,Cat Mountain
6600,West William Cannon Drive,78735,30.241273,-97.861133,Legend Oaks
713,Kinney Avenue,78704,30.259296,-97.7634640714286,Zilker
5600,Decker Lane,78724,30.2807365,-97.6360135101351,The Woodlands
1707,Overhill Drive,78721,30.284702,-97.6842312125,MLK
2412,Burleson Court,78741,30.2294545,-97.7348231659341,Parker Lane
5634,Sedona Drive,78759,30.3972745,-97.7655672008291,NA
8507,Bell Mountain Drive,78730,30.374817,-97.818093,Long Canyon
7164,Ridge Oak Road,78749,30.2273715,-97.8669660492916,Legend Oaks
1507,Tall Shadows Drive,78617,30.224123,-97.668115,NA
4402,Elmsgrove Drive,78721,30.2849955,-97.6779772734375,MLK-183
5810,Decker Lane,78724,30.28467,-97.633549,The Woodlands
9605,Crenata Cove,78759,30.4017385,-97.7695975789894,NA
604,Logans Lane,78746,30.305813,-97.7946084340759,Bee Cliffs
2112,West 11th Street,78703,30.2838957,-97.7677005,Westfield
4403,Elohi Drive,78746,30.325311,-97.7807884252336,Balcones Park
9004,Bluegrass Drive,78759,30.394357,-97.769286,NA
5302,Ponciana Drive,78744,30.1998785,-97.7547263928572,Franklin Park
9501,Prince William Road,78730,30.363466,-97.842714,River Place
4610,Tannehill Lane,78721,30.284897,-97.670821,MLK-183
11907,Conann Court,78753,30.3903735,-97.6815058258427,Oak Ridge
1101,Cedar Bend Drive,78758,30.40373,-97.681152,River Oak Lake Estates
4304,Marathon Boulevard,78756,30.311964,-97.7403667532258,Rosedale
1401,Phillips Court,78733,30.302666,-97.870396,NA
7100,Colorado High Avenue,00787,30.206923,-97.701416,NA
3901,Lakeplace Lane,78746,30.3283105,-97.7831760732932,Balcones Park
3221,Silkgrass Bend,78748,30.1851215,-97.8412737246094,Palomino Park
6704,West Courtyard Drive,78730,30.3594335,-97.8036530911215,Angel Pass
7914,Burrell Drive,78757,30.353427,-97.7220015355969,Wooten
5403,Lurlyne Court,78744,30.198473,-97.7324611263158,Southeast Austin
3701,Hawkshead Drive,78727,30.413805,-97.7208900449949,Angus Valley
2705,Crest Avenue,78702,30.2733715,-97.7039024495656,Rosewood
7935,Escala Drive,78735,30.274225,-97.864429032967,NA
10114,Jollyville Road,78759,30.39552385,-97.750325956119,NA
10252,Old Lockhart Highway,78747,30.134763,-97.758314,Perkins Valley
1109,Fieldcrest Drive,78704,30.242951,-97.7666596336207,Galindo
1624,City Park Road,78730,30.3350597978646,-97.841055889041,Long Canyon
2585,Forest Bend Drive,78704,30.2536002341078,-97.7921122736788,Barton Hills
3504,Denwood Drive,78759,30.364923,-97.745904516129,Mesa Forest
8920,Ramirez Lane,78742,30.2457912,-97.6477541,NA
7901,Verbank Vila Drive,78747,30.160692,-97.742882,Thaxton Place
9300,Bell Mountain Drive,78730,30.3806135,-97.8284436676829,Long Canyon
1205,Payne Avenue,78757,30.3343005,-97.7267335129986,Violet Crown Heights
103,Brazos Street,78701,30.263533,-97.742822,Downtown
2417,Hartford Road,78703,30.29355,-97.7581621658681,Old West Austin
5,Stegner Lane,78746,30.323352,-97.825902,NA
2921,Farm-to-Market Road 973,78725,30.24182,-97.619905,Garden Valley Village
2155,Parkway,78703,30.2865630236954,-97.7547099649805,Enfield
11012,Sierra Verde Trail,78759,30.4151715,-97.759624960481,NA
1209,Dusky Thrush Trail,78746,30.2729095,-97.8063557389752,NA
9214,Thaxton Road,78747,30.139915,-97.734098,Thaxton Place
3913,Avenue F,78751,30.3023315,-97.7308957940721,Hyde Park
5601,Little Cypress Lane,78744,30.174821,-97.745506,Nuckols Crossing
1305,Cuernavaca Drive North,78733,30.336589,-97.8649916666667,Austin Lake Hills
8000,Willet Trail,78745,30.197865,-97.8255345645963,Cherry Creek
4407,City Park Road,78730,30.356633,-97.8267552979626,Long Canyon
506,Crystal Creek Drive,78746,30.3154395,-97.8656895896195,Austin Lake Hills
2304,Portofino Ridge Drive,78735,30.287264,-97.8584543666667,NA
10608,Macmora Road,78758,30.3833505,-97.704817374857,Quail Hollow
1819,West 38th Street,78731,30.311099,-97.7533488914373,Oakmont Heights
6407,Culpepper Cove,78730,30.378851,-97.823539,Long Canyon
807,Sheraton Avenue,78745,30.2104225,-97.7626949448925,East Congress
3401,McCall Lane,78744,30.20185,-97.687246,Martinshore
