zid,address,zipcode,alat,alon,valuation,value_change,value_range_high,value_range_low,value_percentile,sqft,lot_sqft,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price
144145388,3600 Agape Lane,78735,30.266294,-97.837346,6811293.0,-17687,8922794,4631679,0,12198,1421493,2006.0,,0.0,,
29463241,6104 Marigold Terrace,78741,30.231338,-97.702556,263481.0,-6313,281925,245037,0,1156,5432,1983.0,,4.0,,
2110920024,6304 East Stassney Lane,78744,30.20095,-97.76939,,,,,0,,,,,3.0,,
58312527,3203 Bruce Drive,78735,30.236243,-97.807462,402333.0,707,422450,382216,0,1337,9361,1969.0,,3.0,,
29417194,7107 Grover Avenue,78757,30.341319,-97.722019,341032.0,-17204,358084,317160,0,1224,6882,1950.0,,3.0,,
64620666,12220 Tanglewild Drive,78758,30.406599,-97.692878,452119.0,874,479246,429513,0,3094,7667,2010.0,,4.0,,
29361164,7877 Lakewood Drive,78750,30.380142,-97.793685,691492.0,3753,739896,643088,0,3296,42114,1985.0,,4.0,,
29365325,10106 Dianella Lane,78759,30.409644,-97.774525,645984.0,-3267,678283,613685,0,3966,8747,1999.0,,,,
125744158,109 Reveille Road,78746,30.282064,-97.806268,,,,,0,,44662,1979.0,,,,
29386852,1039 Nile Street,78702,30.268507,-97.711893,481287.0,-8856,510164,452410,0,1867,12663,1981.0,,,,
29412809,1704 Raven Drive,78752,30.326974,-97.683904,268812.0,-1302,284941,252683,0,1336,6969,1969.0,,3.0,,
58313664,5301 Fairhill Drive,78745,30.218768,-97.796419,406533.0,-740,430925,386206,0,1566,10616,1968.0,,4.0,,
29434190,11005 Baltus Drive,78758,30.386171,-97.702629,283055.0,2599,297208,266072,0,1563,6765,1979.0,,,,
121655909,716 Cardinal Lane,78704,30.232727,-97.767362,655656.0,-5171,688439,622873,0,2524,5171,2013.0,,4.0,,
70330348,125 Brandon Way,78733,30.321149,-97.859801,,,,,0,6433,49963,2011.0,,5.0,,
29421521,8604 Georgian Drive,78753,30.352567,-97.699893,208354.0,2944,218772,193769,0,780,7579,1948.0,,2.0,,
29351485,5706 Eagle Cliff,78731,30.353771,-97.793626,393409.0,12115,424882,365870,0,1573,4029,1984.0,,,,
29347529,3620 Ranch Creek Drive,78730,30.34958,-97.841928,1507445.0,4214,1628041,1311477,0,5156,174240,2001.0,,4.0,,
29395015,4514 Rimrock Trail,78723,30.289281,-97.684752,354439.0,-7920,379250,333173,0,1483,13726,1974.0,,,,
29402939,4101 Ramsey Avenue,78756,30.311634,-97.746008,492202.0,-5600,516812,467592,0,1062,6896,1940.0,,,,
64519016,6604 Convict Hill Road,78749,30.228212,-97.874675,409842.0,-1640,434433,389350,0,2227,9191,2003.0,,3.0,,
29439817,12200 Tyson Cove,78758,30.409376,-97.701077,319784.0,-24377,335773,303795,0,1777,10062,1984.0,,0.0,,
29465704,4108 Todd Lane,78744,30.21199,-97.738239,,,,,0,1148,148148,1997.0,,,,
144987619,11340 Platt Lane,78725,30.23705,-97.637759,217861.0,2767,250540,178646,0,1792,440043,1990.0,,0.0,,
29329271,806 Theresa Avenue,78703,30.28034,-97.765907,667025.0,-22874,720387,620333,0,1348,6011,1923.0,,3.0,03/10/2016,
29488534,6606 Krollton Drive,78745,30.208105,-97.811253,327873.0,-8038,344267,311479,0,1359,5802,1974.0,,3.0,03/28/2004,
120896519,4513 Ruiz Street,78723,30.297714,-97.701738,438077.0,-9980,459981,407412,0,1526,1559,2012.0,,3.0,01/28/2013,150000
29403351,4504 Avenue G,78751,30.308245,-97.726534,449722.0,1526,476705,422739,0,1014,7893,1949.0,,,,
2093573309,1301 Capital of Texas Highway,78746,30.332844,-97.809836,,,,,0,1704,,,,3.0,,
58302579,11511 Trinity Hill Drive,78753,30.379357,-97.669937,261743.0,-3935,274830,248656,0,1229,9204,1969.0,,,,
83829031,9100 FM 812,78719,30.16433,-97.685528,233223.0,4357,258878,193575,0,952,363726,1973.0,,,,
70353547,8105 Canoga Avenue,78724,30.285173,-97.638626,,,,,0,1064,,1983.0,,0.0,,
58299302,4409 Walhill Lane,78759,30.382106,-97.757492,634552.0,-257,666280,596479,0,2535,19637,1985.0,,,,
29343255,4004 Shadow Oak Lane,78746,30.332393,-97.788986,1600191.0,35189,1728206,1424170,0,6154,43560,1989.0,,,,
29364603,8904 Yucca Mountain Road,78759,30.400079,-97.78253,462783.0,2602,509061,407249,0,1878,136778,1942.0,,,,
29407285,2710 Bristol Drive,78723,30.314937,-97.683233,285188.0,-18609,310855,250965,0,960,7448,1957.0,,3.0,,
29385693,1127 Terry Drive,78721,30.268663,-97.679455,382712.0,-4503,428637,329132,0,1020,7056,2017.0,,3.0,10/01/2015,139000
29346460,4506 Eby Lane,78731,30.339208,-97.778865,649068.0,-7455,681521,603633,0,2344,11204,1990.0,,,,
29406697,5304 Bennett Avenue,78751,30.313371,-97.712326,386134.0,-9050,436331,332075,0,1122,9147,1918.0,,2.0,06/21/2016,461500
29337610,8700 Crystal Creek Circle,78746,30.299633,-97.859464,1972164.0,-66408,2189102,1715783,0,3594,871200,1974.0,,,,
29505796,8402 Beaver Brook Lane,78748,30.17821,-97.793686,283628.0,1120,300646,269447,0,1464,6795,1977.0,,3.0,,
29338298,600 Beardsley Lane,78746,30.30606,-97.851331,1113514.0,14620,1169190,1035568,0,4185,110337,1999.0,,4.0,,
144231193,300 Edwin Lane,78742,30.24978,-97.658206,,,,,0,,4776485,,,0.0,,
144181638,5752 North Scout Island Circle,78731,30.353983,-97.793235,410063.0,14113,430566,389560,0,1592,4182,1983.0,,3.0,,
29324915,713 Kinney Avenue,78704,30.259311,-97.763464,803328.0,-517,851528,747095,0,1852,9147,1955.0,,3.0,06/20/1997,125000
29392594,1707 Overhill Drive,78721,30.284668,-97.684181,270929.0,-10519,284475,243836,0,960,10171,1966.0,,,,
29463720,2412 Burleson Court,78741,30.229461,-97.734782,350744.0,2201,371789,326192,0,1768,7405,1977.0,,2.0,,
29363960,5634 Sedona Drive,78759,30.397259,-97.765572,648723.0,-5846,681159,616287,0,3635,10542,1992.0,,4.0,,
29356094,8507 Bell Mountain Drive,78730,30.374817,-97.818092,808442.0,-10801,873117,768020,0,3318,80586,1989.0,,,,
29481515,7164 Ridge Oak Road,78749,30.227504,-97.866894,334323.0,4448,351039,317607,0,1426,10193,1998.0,,,,
70327344,1507 Tall Shadows Drive,78617,30.223432,-97.668815,,,,,0,,10660,1996.0,,,,
29393310,4402 Elmsgrove Drive,78721,30.284989,-97.677956,401344.0,13980,425425,365223,0,1834,16061,1966.0,,3.0,,
29364527,9605 Crenata Cove,78759,30.401653,-97.769592,485186.0,-3630,509445,460927,0,2179,16827,1997.0,,,,
89551094,604 Logans Lane,78746,30.305857,-97.794749,3317173.0,-3268,3881092,2852769,0,8366,88470,2010.0,,6.0,06/03/2016,3000000
29331696,2112 West 11th Street,78703,30.283904,-97.767695,809623.0,-14126,866297,752949,0,2353,4791,2005.0,,4.0,,
29342110,4403 Elohi Drive,78746,30.325267,-97.780776,2013085.0,-64480,2214393,1831907,0,6522,42637,2002.0,,,,
29363936,9004 Bluegrass Drive,78759,30.394394,-97.769312,639256.0,5543,671219,607293,0,2979,25343,1999.0,,,,
29489267,5302 Ponciana Drive,78744,30.199921,-97.754757,190716.0,5153,200252,173552,0,880,7153,1977.0,,,,
29354035,9501 Prince William Road,78730,30.363448,-97.842809,823037.0,-15122,864189,757194,0,3958,52707,2000.0,,4.0,,
58304522,11907 Conann Court,78753,30.390323,-97.681422,360143.0,8136,381752,327730,0,2275,12145,1970.0,,,,
2096540630,1101 Cedar Bend Drive,78758,30.409491,-97.69956,,,,,0,676,,1984.0,,1.0,,
29404965,4304 Marathon Boulevard,78756,30.311979,-97.740339,514786.0,1135,540525,489047,0,1396,6534,1940.0,,3.0,09/17/2012,
58298036,3901 Lakeplace Lane,78746,30.328292,-97.783229,1444264.0,24584,1559805,1328723,0,4892,43996,1991.0,,,,
29507316,3221 Silkgrass Bend,78748,30.185085,-97.84128,376805.0,-458,395645,357965,0,2730,11186,1996.0,,,,
29351858,6704 West Courtyard Drive,78730,30.359634,-97.803757,1143832.0,6872,1212462,1063764,0,4558,42383,2003.0,,4.0,,
29422343,7914 Burrell Drive,78757,30.353434,-97.722079,405017.0,13998,437418,368565,0,1664,9226,1961.0,,,,
64580848,5403 Lurlyne Court,78744,30.198473,-97.732533,305240.0,-458,323554,289978,0,2761,11822,2003.0,,,04/19/2007,119920
58305284,3701 Hawkshead Drive,78727,30.413826,-97.720907,353256.0,2990,370919,335593,0,1659,8568,1979.0,,,,
29388673,2705 Crest Avenue,78702,30.273307,-97.703854,381690.0,-2576,400774,362606,0,1122,7492,1985.0,,4.0,,
70330282,7935 Escala Drive,78735,30.27461,-97.864324,3197802.0,-16320,3517582,2973956,0,10164,172803,2005.0,,,,
29473531,1109 Fieldcrest Drive,78704,30.24294,-97.766657,415014.0,8059,435765,377663,0,1263,7666,1958.0,,3.0,,
29425991,3504 Denwood Drive,78759,30.364914,-97.745925,632037.0,-873,669959,600435,0,2832,9147,1964.0,,4.0,,
70342105,7901 Verbank Vila Drive,78747,30.160637,-97.742779,274426.0,-2288,288147,260705,0,2912,6569,2005.0,,,,
29356268,9300 Bell Mountain Drive,78730,30.380641,-97.828448,788176.0,-3515,835467,725122,0,3409,43080,1989.0,,4.0,,
29413192,1205 Payne Avenue,78757,30.334333,-97.726728,449515.0,-6790,476486,427039,0,1594,8546,1949.0,,,09/30/2004,159000
62605359,103 Brazos Street,78701,30.26589,-97.741957,552673.0,-21267,784796,491879,0,1319,788,1925.0,,1.0,,
29335046,2417 Hartford Road,78703,30.293592,-97.758117,1068744.0,59995,1325243,887058,0,3469,17934,1948.0,,4.0,07/12/2017,900000
29341460,5 Stegner Lane,78746,30.323352,-97.825902,1533972.0,9161,1610671,1457273,0,4603,90517,1996.0,,4.0,10/17/2016,
29366155,11012 Sierra Verde Trail,78759,30.415218,-97.759612,476342.0,-6221,500159,447761,0,2577,8346,1986.0,,,,
29326903,1209 Dusky Thrush Trail,78746,30.272946,-97.806324,643520.0,-4322,675696,592038,0,1384,12258,1980.0,,,,
64733685,9214 Thaxton Road,78747,30.139783,-97.733361,268224.0,-394,289682,246766,0,1296,435600,2009.0,,0.0,,
29400584,3913 Avenue F,78751,30.302324,-97.730904,868539.0,-15928,1007505,781685,0,2450,10000,1906.0,,4.0,,
29468989,5601 Little Cypress Lane,78744,30.17482,-97.745505,,,,,0,854,11221,1974.0,,,,
60136355,1305 Cuernavaca Drive North,78733,30.334275,-97.866534,378691.0,2854,401412,359756,0,1868,,2001.0,,,,
29498293,8000 Willet Trail,78745,30.197869,-97.825549,323269.0,-252,339432,307106,0,1528,10123,1993.0,,,09/18/2014,
29347491,4407 City Park Road,78730,30.356611,-97.826757,773418.0,-1703,835291,696076,0,2919,122055,1977.0,,,,
29333053,2304 Portofino Ridge Drive,78735,30.28728,-97.858367,2744605.0,-15463,2936727,2607375,0,9618,52707,2000.0,,6.0,05/10/2018,2700000
29433868,10608 Macmora Road,78758,30.383473,-97.704865,365807.0,11525,391413,343859,0,1530,30448,1964.0,,,,
29340190,1819 West 38th Street,78731,30.311103,-97.753316,839333.0,4513,923266,780580,0,1624,10001,1939.0,,3.0,06/10/2005,235000
144188221,6407 Culpepper Cove,78730,30.379472,-97.823378,1398085.0,29817,1579836,1230315,0,5373,122491,2017.0,,4.0,,
70348785,807 Sheraton Avenue,78745,30.210443,-97.762715,311177.0,-3185,326736,295618,0,1767,6251,2006.0,,3.0,,
94641487,3401 McCall Lane,78744,30.202023,-97.686823,212922.0,-372,234214,193759,0,1,9121,1980.0,,,,
29423668,9036 North Lamar Boulevard,78758,30.361881,-97.699664,,,,,0,570,590238,1985.0,,1.0,,
29478271,3505 Alpine Circle,78704,30.229493,-97.762207,552493.0,-10531,596692,491719,0,2204,6900,1972.0,,,,
29427900,301 East Longspur Boulevard,78753,30.36469,-97.688747,236839.0,-2760,248681,217892,0,1536,8699,1971.0,,,,
29331414,3800 Barton Creek Boulevard,78735,30.282206,-97.881768,1332556.0,59754,1572416,1172649,0,5100,52402,1995.0,,5.0,,
144162779,616 Logans Lane,78746,30.307402,-97.795195,,,,,0,,61855,,,0.0,04/18/2017,787500
29339438,15 Rob Roy Road,78746,30.309603,-97.833436,1134188.0,38938,1202239,1066137,0,3673,51401,1983.0,,,,
124837891,2203 Thornton Road,78704,30.245927,-97.770349,780577.0,-4070,819606,741548,0,2569,10598,2016.0,,3.0,04/12/2017,899900
29363437,8425 Asmara Drive,78750,30.392465,-97.806332,626589.0,8405,664184,545132,0,3115,32866,1996.0,,5.0,04/20/2015,
29515552,9020 Bluff Springs Road,78747,30.159775,-97.769797,174784.0,4607,197506,148566,0,728,,1983.0,,,,
144231192,201 Edwin Lane,78742,30.253732,-97.645448,338849.0,21051,389676,281245,0,892,2347884,1962.0,,0.0,,
29410125,2900 Susquehanna Lane,78723,30.317592,-97.669112,343686.0,-18363,374618,319628,0,1370,7553,1966.0,,,,
29347534,3703 Turkey Creek Drive,78730,30.351652,-97.839842,776883.0,-643,870109,699195,0,3783,75794,1992.0,,,,
29334348,704 Knollwood Drive,78746,30.295388,-97.835451,838206.0,-246,1064522,746003,0,3359,69260,1972.0,,4.0,12/06/2012,
29328650,2100 Ringtail Ridge,78746,30.276356,-97.834763,729085.0,4505,772830,670758,0,3102,20199,1983.0,,4.0,04/24/2015,620000
